site,name,employer,location,salary_min,salary_max,salary_currency,link
hh.ru,Fullstack Python Developer,Nitka Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69480968
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653659
hh.ru,Middle Python Developer,ООО Открытые решения,,,,,https://sosnovoborsk.hh.ru/vacancy/69537015
hh.ru,Python developer (middle),ООО PEOPLE,,,,,https://sosnovoborsk.hh.ru/vacancy/69029158
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653578
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653604
hh.ru,Программист Python Senior,Работут,,,,,https://sosnovoborsk.hh.ru/vacancy/69420961
hh.ru,"Код-ревьюер курса ""Python-разработчик"" на backend-факультет",Яндекс Практикум,,,,,https://sosnovoborsk.hh.ru/vacancy/66899688
hh.ru,Python Developer (Extranet Team),"Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels)",,,,,https://sosnovoborsk.hh.ru/vacancy/69454225
hh.ru,Backend разработчик python,ПАО «Газпром нефть»,,,,,https://sosnovoborsk.hh.ru/vacancy/69286250
hh.ru,Backend разработчик python,ПАО «Газпром нефть»,,,,,https://sosnovoborsk.hh.ru/vacancy/69286252
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653646
hh.ru,Teamlead Python,ООО Вита Смарт,,,,,https://sosnovoborsk.hh.ru/vacancy/69590930
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653621
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653590
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653555
hh.ru,Python Developer,ICVR,,,,,https://sosnovoborsk.hh.ru/vacancy/69242604
hh.ru,Senior Python Developer (remote),BestDoctor,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/68653665
hh.ru,Backend разработчик python,ПАО «Газпром нефть»,,,,,https://sosnovoborsk.hh.ru/vacancy/69286251
hh.ru,Backend разработчик python,ПАО «Газпром нефть»,,,,,https://sosnovoborsk.hh.ru/vacancy/69286253
hh.ru,Python TeamLead,IBS,,,,,https://sosnovoborsk.hh.ru/vacancy/69313942
hh.ru,Senior/Middle Python разработчик,ООО Деньги Вперед,,,,,https://sosnovoborsk.hh.ru/vacancy/70348228
hh.ru,Senior Python-разработчик,"Hi, Rockits!",,,,,https://sosnovoborsk.hh.ru/vacancy/70216992
hh.ru,Backend-разработчик (Python)/Риск-менеджмент (Департамент управленческого консультирования),Деловые Решения и Технологии (ДРТ),,,,,https://sosnovoborsk.hh.ru/vacancy/70401965
hh.ru,Senior Python Разработчик / DevOps (PT Container Security),Positive Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69775896
hh.ru,Middle / Senior Python developer,Techno Diasoft,,,,,https://sosnovoborsk.hh.ru/vacancy/69625290
hh.ru,Разработчик СУБД (C/Python),ООО Аренадата Софтвер,,,,,https://sosnovoborsk.hh.ru/vacancy/70030989
hh.ru,Lead Python разработчик,ООО Деньги Вперед,,,,,https://sosnovoborsk.hh.ru/vacancy/70348277
hh.ru,"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",Деловые Решения и Технологии (ДРТ),,,,,https://sosnovoborsk.hh.ru/vacancy/70401918
hh.ru,"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",Деловые Решения и Технологии (ДРТ),,,,,https://sosnovoborsk.hh.ru/vacancy/70401938
hh.ru,"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",Деловые Решения и Технологии (ДРТ),,,,,https://sosnovoborsk.hh.ru/vacancy/70401826
hh.ru,Разработчик СУБД (C/Python),ООО Аренадата Софтвер,,,,,https://sosnovoborsk.hh.ru/vacancy/70030988
hh.ru,Python Team Lead,Т1 Интеграция,,,,,https://sosnovoborsk.hh.ru/vacancy/69705612
hh.ru,Senior Python developer (Django),Kokoc Group,,,,,https://sosnovoborsk.hh.ru/vacancy/70365578
hh.ru,"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",Деловые Решения и Технологии (ДРТ),,,,,https://sosnovoborsk.hh.ru/vacancy/70401754
hh.ru,Senior Python Developer,"МАГНИТ, Розничная сеть",,,,,https://sosnovoborsk.hh.ru/vacancy/70041548
hh.ru,Senior Python developer (Django),Kokoc Group,,,,,https://sosnovoborsk.hh.ru/vacancy/70365652
hh.ru,Team Lead (Python),РБК,,,,,https://sosnovoborsk.hh.ru/vacancy/69498888
hh.ru,Senior Python Разработчик (PT Container Security),Positive Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69775791
hh.ru,TeamLead / руководитель команды разработки (Python),"X5 GROUP, Tech",,,,,https://sosnovoborsk.hh.ru/vacancy/69894410
hh.ru,QA Automation engineer (python),ЛАЙФСТРИМ,,,,,https://sosnovoborsk.hh.ru/vacancy/69818579
hh.ru,Программист Python / Senior / Lead,"Риалвеб, Интернет-агентство",,,,,https://sosnovoborsk.hh.ru/vacancy/70017282
hh.ru,Senior Python Разработчик / DevOps (PT Container Security),Positive Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69775897
hh.ru,Программист Python / Senior / Lead,"Риалвеб, Интернет-агентство",,,,,https://sosnovoborsk.hh.ru/vacancy/66192135
hh.ru,Senior Python developer (Django),Kokoc Group,,,,,https://sosnovoborsk.hh.ru/vacancy/70365651
hh.ru,Middle/Senior Auto QA (Python) инженер,Auriga,,,,,https://sosnovoborsk.hh.ru/vacancy/69296357
hh.ru,Python TeamLead (MTS AI),ПАО «МТС» ,,,,,https://sosnovoborsk.hh.ru/vacancy/69773399
hh.ru,Middle/Senior Auto QA (Python) инженер,Auriga,,,,,https://sosnovoborsk.hh.ru/vacancy/69296358
